id,RequirementText,NFR
130,A     the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,0
131,The   be able to display a printable summary for individual s which will include the students enlisted the Program of study sequence of classes  progress through the program and timeline of mpletion.,0
132,The system  be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter Clinical site  information on labs held at that       labs held there),0
133,The ytem hall be  to diplay a  ummary for individual inical lab which will inude (but not be limited to) a name a number lab ection liting of tudent enrolled intru () time and location.,0
134,The system  be able to display a prtable summary for divual nursg students which will clude (but not be limited to) student name student ID admission date classes credits GPA and the hort that the student is enrolled .,0
135,The system  be able to display a able summary of the system .,0
136,The system  contain contact information (e-mail and phone number) for all people relevant  the system including (but   )         and  site administrars.,0
137,The   use the stored e-mail addresses as a primary means of communicating information to  .,0
138,The system will  affected  for routine communication purposes including but  limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,0
139,The system   affected parties when changes occur affecting s  but  limited to    changes    s.,0
140,The ytem   affected  when change occur affecting ae  but  limited to a  a ec  change and change to a   a given quarter.,0
141,The ytem   affected partie when change occur affecting   but  limited to change to  equence for a ’  of tudy and change to a given week’ chedule (lab cancelled thi week due to intructor illne).,0
142,The system   affected parties when changes occur affecting specific s  but  limited to changing a s   full time to part time  moving a  to a different clinical section.,0
143,Program AdministratorsNursing Staff Members  have the ability to modify information relating to s including  identifier  of study preferred sequence of classes and quarters that a  will be taking specific classes.,0
144,Program AdministratorsNursing Staff Members   the ability to modify information relating to a Program of Study within the Nursing Department  the Program of     classes for that Program of Study.,0
145,Program AdministratorsNursing Staff Members  have  ability to modify information relating to a Clinical Site   clinical  name  contact person contact information and .,0
146,Program AdministratorsNursing Staff Members  have  ability to modify information relating to a Clinical Lab S    site name  department for  lab  class instructor day and time of lab and contact information.,0
147,Program AdministratorsNursing Staff Members   the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and  of study.,0
148,The Disputes   comply with the corporate  for  interface creation for internally and externally used s.,1
149,All screens created as part of the Disputes   comply with corporate  for  creation.,1
150,The  of   that   after a search is performed must be color coded for  identification of    upon the  case status.,1
151,100% of the cardmember and merchant   shall use the Disputes application regularly after a - training .,1
152,100% of cardmember    be  to successfully create a dispute case on the  encounter  completing the  course.,1
153,100% of merchant services representatives  be  to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,1
154,The  wait time for a user navigating from one  to anor within  Disputes  shall  no more   seconds.,1
155,The Disputes  shall support 350 concurrent users without any degradation of performance in the .,1
156,The Disputes    available  with the ept of the following scheduled maintenance . Monday – Saturday 3:am to 4:am EST Sunday 1:amd to :am EST,1
157,The Disputes  sh  with the Statement Database The Statement Database provides the   to the Disputes System All    be obtained from the Statement Database,1
158,The Disputes  shall interface with the Cardme Information Database The Cardme Information Database provides detailed  with regard to a cardme All cardme detail   be obtained from the Cardme Information Database,1
159,The Disputes   interface with the Merchant Information Database The Merchant Information Database provides detailed information with regard to the merchant All merchant detail information  be obtained from the Merchant Information Database,1
160,The Disputes application    the Letters application This will ow the Disputes application to request s  part of the dispute initiation and dispute follow up  All    be sent to the Print Letter Utility application,1
161,The Dip  h  with the Card Poting and Billing Sy Thi will ow the Dip  to requet tnt to  and rchant’  All tnt requet mut be ent to the Card Poting and Billing Sy,1
162,The Disputes  shall ensure that only users with the appropriate access level are allowed to initiate dispute .,1
163,Only  with Update  must be able to initiate dispute requests.,1
164,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,1
165,All authorized    must be  to n to  Disputes System,1
166,The Disputes System  generate a User Report that details any   that have been added and any changes to an existing user’s access level. The  will be reviewed for auditing purposes.,1
167,All       to uer’ acce h be recorded on the Uer Report.,1
168,If a   is   can only be re-iated  the System Administrator.,1
169,Oly the System Admiistrator  be  to reset a revoked user  accout,1
170,The Disputes   manipulate and view business data Users will   direct access to data files or ,1
171,All updates to data files or    initiated from the Disputes System.,1
172,The Disputes  must conform to the legal requirements as specified by the Merchant Operating Regulations.,1
173,All  rules  in the Disputes System sh  in compliance with the Merchant Operating Regulations.,1
174,Th Disputs  must conform to th lgal rquirmnts as spcifid by Rgulation E and Rgulation Z that govrn crdit card disputs procssing.,1
175,All  ruls  in th Disputs Systm sh  in complianc to th guidlins of Rgulation E and Rgulation Z.,1
176,The Disputes   maintain a detailed history of   that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,1
177,All  that     case must be recorded in  case history.,1
178,The Disputes System must be accessible by both internal and external users.,0
179,The Disputes System must prevent users from ing any dispute cases that do not belong to their card base.,0
180,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,0
181,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,0
182,The Disputes System  provide view access capability for authorized users of the application.,0
183,The Disputes System  provide update access capability for authorized users of the application.,0
184,The Disputes System must allow the users to select disputable s based on the age of the  from a user   initiate a   retrieval request or chargeback notification on the selected .,0
185,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that  to a single merchant.,0
186,The Disputes System  provide the user the ability to create or initiate a ticket retrieval  As part of ticket retrieval creation  the   prompt the user to enter all the required information to create the ticket retrieval  The ticket retrieval  is a document that is sent to merchant inquiring the validity of a transaction,0
187,The Dipute Sytem mut allow the uer to create three unique type of ticket retrieval . The three type of ticket retrieval   ( Requet   receipt (2 Requet  a copy of the receipt or (3 Requet  a portfolio. A portfolio conit of documentation that would provide proof of a purchae uch a the documentation that i received from a car rental agency that i more than a ale receipt.,0
188,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,0
189,The Disputes System  allow the user to create or itiate a back . The    the user to enter the required  to itiate a back . The back    a  back  that is sent to  dicatg that their account will be d back if no oof is ovided that the dispu transaction is valid.,0
190,The Disputes System  prevent the creation of duplicate dispute requests 100% of the .,0
191,The Disputes System  accurately provide a list of possible reason codes for a given transaction The list of possible reason codes must be derived based on the type of transaction and the industry that the   to according to the business rules defined for the Disputes System,0
192,The Disputes System must provide the ability to view existing dispute cases.,0
193,The Disputes System  povide Seach functionality The seach thod  clude the ability to seach by (1) the dispute case nu (2) the chant account nu (3) the  account nu and (4) the  nu In  to the above  the seach functionality  futhe allow the use to limit the esults of the seach by a date ange the type of dispute (ticket etieval equest o chageback notification) the case status (open closed o all) and the dispute eason ,0
194,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases  be yellow and all closed cases  be .,0
195,The Disputes System  provide the users the ability to view the history of all  that   on the  .,0
196,The Dispute System  provide the s with the ability to follow up on a dispute case via follow-up  The  of  follow up  for a  dispute case must be filtered by the status of the case  the access  of the ,0
197,The Disputes System  recd the name of the user and the date f any activity    modifies the   in the  A detailed histy of the    the   the date and the user  perfmed the acti must be maintained f auditing purposes,0
198,For any systematic (non-   that occurs on a case such as the  aging  a case   be generated Upon the  logon the  that  the  case must be notified that a systematic  has occurred on the  case,0
199,All    be ted according to guidelines specified by the Print Letter Utility .,0
200,Any disputes cases that have  closed for over 6 months must be d from the online disputes database.,0
201,The   support Internet Explorer . and above.,1
202,The    Molla Firefo .0 and above.,1
203,The  shall interface with the Choice Parts System. This provides the feed of recycled  .,1
204,The  shall run on the existing hardware for all .,1
205,The  shall adhere to the corporate Architecture ,1
206,The product shall comply with corporate User Interface Guidelines,1
207,The  shall comply with corporate color scheme,1
208,The  of  product shall  ,1
209,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,1
210,The  shall increase iv of Collision Estimators. 80% of the Collision Estimators shall agree their iv has increase within 1 month of using the .,1
211,Users  feel satisfied using the . 85% of all  will be satisfied with the .,1
212,The  shall  easy    Adjusters and Collision Estimars. The  shall  ed with two  onsite training,1
213,The     instructions while using the product User  can be found within 90 of the ,1
214,The  for recycled parts shall take no longer than 15 seconds. The   shall be returned in under 15 seconds.,1
215,The  for the preferred repair facility shall take no longer than 8 . The preferred repair facility  returned within 8 ,1
216,The    report shall  returned to the user within  . The  report shall  returned within  .,1
217,The preferred repair facility   be saved within 5 . The save  occur within 5 .,1
218,The  shall adhere to the corporate online availability schedule The   brought down  within 98% of the scheduled outages  the availability schedule,1
219,The  shall achieve a 98% up. The  shall not fail more than 2% of  available online .,1
220,The   be able to handle up to 1500 simultaneous users. The   perform with 1500 users as a time.,1
221,The average number of recycled parts records per day shall be 50 000.,1
222,The  shall be  to handle 10 000 concurrent users within 2 years of the initial .,1
223,For esttors      to  operated in a repair facility during dirty and  .,1
224,The  shall interface with the ChoiceParts system once per day at approximately : AM.,1
225,The maintenance of the  will fall within the established corporate maintenance .,1
226,The   be supported using the corporate support .,1
227,Product  and  shall  handled by the  technology team within established launch time frames.,1
228,Only er  requet recycled part audit report No uer without an er role  requet recycled part audit,1
229,Only ers with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,1
230,Only collision  shall search for recycled parts Users without the collision  role shall   access to the search for recycled parts,1
231,Only    be entered into the  No    be entered into the ,1
232,One insurance      to view er insurance s  data.,1
233,The  shall free of computer viruses.,1
234,The   prevent malicious  including  of service.,1
235,The  mut comply with Sarbane-Oxley.,1
236,The   comply with the atics  relating to recycled parts usage.,1
237,The   comply with insurance regulations regarding claims .,1
238,The   search for the preferred repair facility usg    and radius  miles,0
239,The vehicle data  include vehicle year make and model,0
240,The  location  include street address city state  ,0
241,The   resolve the code for the street address city and state if code is unknown,0
242,The search   be between 1 and 30 ,0
243,The system  locate the preferred repair facility with the highest ratings for the input ,0
244,The er  enter the preferred repair facility on the estimate .,0
245,The    able to ovr the prefred repair fality on the estimate .,0
246,The  repair facility  be returned to  .,0
247,The system  return a list of repair facilities within the radius if the preferred repair facility cannot be .,0
248,The   search for available recycled parts using damaged vehicle parts .,0
249,The tor  search for available recycled parts using a list of preferred parts suppliers.,0
250,The   search for available recycled parts for the supplied vehicle parts and .,0
251,The ator  search by  with a radius of 30 miles if no parts are found for the preferred parts ,0
252,The system  retain the available recycled parts and suppliers returned from the .,0
253,The available       shall be returned to  user.,0
254,The im  apply selected recycled parts to the collision imate.,0
255,The   not apply recycled parts to the collision ate if no available parts are .,0
256,The er  review the collision .,0
257,The er  request a recycled parts  of the collision estimate.,0
258,The recycled  search     imar shall be retrieved by  system.,0
259,The system  generate an audit report based on the available recycled parts and the collision .,0
260,The  report  include the total number of recycled parts used in the ,0
261,The    include the number of available recycled parts from the original search .,0
262,The    include the percentage of available recycled parts used in the  ,0
263,The    include the total score of the  which sums the ivual line .,0
264,The    be displayed to  .,0
265,The    be available to or ers at later points in .,0
266,The user  select to view the preferred repair facility .,0
267,The  repair    be displayed to the .,0
268,The system will display a blank set of ratings if there are not ratings yet defined.,0
269,The user  enter new ratings based on the audit ,0
270,The   be from a scale of 1,0
271,The    categories  attempted use of recycled parts and actual use of recycled parts,0
272,The    to save the preferred repair facility .,0
273,The preferred     be saved by the system.,0
274,The product  work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer .,1
275,The  will function alongside server software on any operating system where the Java  can be installed.,1
276,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,1
277,The   make use of web/application server . Open  examples  Apache web server Tomcat and  JBoss application server.,1
278,A database management  such as Oracle DB MySl or HSQL will need to be integrated with the product.,1
279,The ’ Look and Feel   able to incorporate ct of the cutomer’  uch a logo branding and identity,1
280,The  shall have a conservative and professional .,1
281,The product shall make the users want to use it. 80% of the users surveyed  they are regularly using the product after the first 2  -.,1
282,The  shall be easy to use. 90% of  will be able to successfully reserve a conference room within 5 minutes of  use.,1
283,The product shall give users feedback when  80% of the users surveyed  that the product accurately confirms their actions,1
284,The   allow the  to select a chosen language from one of the target market countries.,1
285,The  shall allow for i of start page and views .,1
286,An  will be  to successfully use the product within a few minutes After informally navigating the product for less than 15 minutes  shall be  to successfully setup meetings and reserve conference rooms,1
287,The  shall use a standard navigation menu familiar to most web .,1
288,The  shall allow for intuitive  of available conference rooms.,1
289,The  shall conform to the Americans with Disabilities Act.,1
290,The response shall be fast enough to avoid interrupting the user’s flow of thought. 0% of tasks shall complete   seconds. % of tasks shall complete   seconds.,1
291,Aside from       achieve .% up .,1
292,The product  create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,1
293,The     of handling up to 1 000 concurrent  This numr  increase to 2 000  Release 2 The  capacity must   to   scheduling  such as early  and  afternoon ,1
294,The   be  to process 10 000 transactions per hour within two years of its  This number  increase to 20 000 by Release 2,1
295,The  shall be  to operate for at least 5 years for each customer .,1
296,The  shall  used in  .,1
297,The product    to interface with any HTML brower The product  tranmit data tween the uer and the product   The product  diplay HTML properly in 80%  all HTML brower teted ( i to tet 8 brower),1
298,The   be able to interface with various database management systems The  shall communicate successfully with the database management system on 100% of all transactions,1
299,The    able to interface with various email  The    able to send email,1
300,The  shall be available for distribution via the Internet as a binary or ZIP file.,1
301,The  shall  available for distribution as a  CD.,1
302,The  will  available f licensing as a one-server two-five servers  five--me servers license.,1
303,A new  must be  to be added to the system within 10 . 90% of new s   to log into the system within 10 .,1
304,The product  be designed using Design Patterns and coding best practices. 90% of maintenance  developers are  to integrate new functionality into the product    .,1
305,The product    congur for ue with variou databae management ytem for the end uer 80% of end uer are  to integrate new databae management ytem with the product without changing the product’  ,1
306,Maintenance  will be offered to customers once a year. The  shall  no longer than 5 minutes for 80% of the customer base to .,1
307,Every registered user will have access to the product’s support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,1
308,The customer  be  to easily integrate new building maps with the product throughout the product’s  Integration of new maps with the product  be possible with little to no support from product support ,1
309,The  hall  tranlated into foreign  other than the target market rie’  in  releae For each emerging target market it hall take  more than 5  to gure the  for that market’ ,1
310,The  is  to integrate with mutipe database  . The   operate with Orace SQL Server DB MySQL HSQL and MS Access.,1
311,The    able to  installed in any operating environment within  .,1
312,Th  sh  that only company mploys or xtrnal s with companyapprovd  IDs may hav  . 100   logons sh b by ir company mploys or xtrnal s with companyapprovd  IDs.,1
313,Only managers are  to perform search ries for reservatio by . 100 of all search ries for reservatio by   be from  of   .,1
314,The     the databe’s data corresponds to the data entered by the  Each    in the system will contain the same information  w entered by the ,1
315,The  shall prevent the input of malicious data The  and/or adjacent hardware/software systems’ data shall  100% uncorrupted each time malicious data is input into the ,1
316,The  or dependent lesems shall remain  as a result of the input of malicious data The  or dependent lesems shall not crash 100 of the time that malicious data is input into the ,1
317,The   have the  to receive automatic stware updates as new  emerge. 100   will be able to receive automatic stware updates transmitted to the installed .,1
318,The language of the   accommodate all of the target market countries 90% of survey  from each target market country will find that the language of the  is ,1
319,The  shall be  to dplay calendar dates and times according to the user’s locale.  of survey respondents from each target market country will find that the date and time formatting of the   .,1
320,The    developed with the JSE/JEE programming language libraries,1
321,The  shall record meeting entries.,0
322,The  will not employees of meeting invitations.,0
323,The   have   to send meeting s to .,0
324,The    the organizers contact  to each meeting they create.,0
325,The product  record meeting ments.,0
326,The product  store new conference rooms.,0
327,The   update existing conference rooms.,0
328,The   be  to  conference rooms.,0
329,The product  be able to store new room .,0
330,The product will update existing room equipment.,0
331,The product  be  to   equipment.,0
332,The    an organizer to invite or employees to meetings.,0
333,Each time a     the     be upd to reflect the time   of the reservation.,0
334,The product  record the transportation  of equipment .,0
335,The  shall display a map of the  building showing conference room locations.,0
336,The   record updated meeting agendas.,0
337,The product  send a meeting  to  meeting organizer.,0
338,The product shall display room equipment according to search parameters.,0
339,The  shall display conference rooms  to  parameters.,0
340,The product  record different meeting types.,0
341,The   record all the  that has been .,0
342,The product  not building  of  transport requests.,0
343,The  will allow d users to view meeting schedules in multiple reporting views.,0
344,The    able to send meeting notifications via different kinds of end-user specified methods.,0
345,The  shall have a ible Look and Feel.,0
346,The  shall have an intuitive user .,0
347,The   display an available  for unreserved conference rooms.,0
348,Recreation of Inventory Quantity Adjustment for the period of previous 30 days   no more than 30.,1
349,The System  allow for a minimum of 6 users  work at the same .,1
350,The System  utilize currently owned computer equipment.,1
351,The System  be  to automatically backup business data and restore them on demand.,1
352,The System  maintain consistent security Any changes in user s andor s  take affect in all parts of the System,1
353,The Sytem  gran control acce right to all major  It hould be poible to aign acce right to all  independent,1
354,The System  meet all applicable accounting  The   of the System must successfully pass independent audit performed by a certified ,1
355,The System  not require additional third party licenses resulting in  fees.,1
356,The System  allow generation of Inventory Quantity Adjustment documents on .,0
357,The System  allow on demand  of all Inventory Quantity Adjustment documents since certain point of time.,0
358,The IQA system  take into account current inventory status and adjust inventory  stitutionary  .,0
359,The System  allow entering storing and modifying product .,0
360,Product   allow use of semi-s    .,0
361,Product    allow defining substitutionary .,0
362,Product  ary ingredients shall be entered automatically by the PFE subsystem.,0
363,Formula ary   be kept in persisted ,0
364,Product  allow entering storing and modifying product menus used by POS .,0
365,PME Subsystem   building product s based on the list of   in the accounting system.,0
366,PME Subsym  allow keeping menus within menus and products within menus in a managed and persid order.,0
367,PME Subsym  allow for a  to  in more than one ,0
368,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,0
369,The System  generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,0
370,The System  generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,0
371,Admistrator  be  to activate a pre-paid card via the Admistration   under  .,1
372,Customer  be able to check the  of their prepaid card by  in the PIN number in under 5 seconds.,1
373,System  let customers register on the website  a “pay   ”  in under  .,1
374,System  let customes egiste on the website  a “ movie subscibe” use in unde  .,1
375,System  let existing customers log into the website with their email address and  in under 5 .,1
376,System  let customers cancel their account process   no longer than   Database will mark the account as  and  will   able to log into the ,1
377,System  let administrator de-activate a  account in    Customer will   be able to  the ,1
378,System shall let administrator add/remove s on the website in under 5 minutes. Entered  information will be stored in the database and will now be available on the website.,1
379,System shall let the administrator add/remove categories on the website in under 5 minutes.,1
380,System  let In Manager access sales and usage statistics  under  s.,1
381,System  let administrators generate unique pre- pins in   minutes and generate an Excel  with the generated PINs.,1
382,The  shall be attractive to all  The  shall appear to be fun and the colors should be bright and vibrant,1
383,The website should have an African feel but should not alienate non-Africans The website should use animation on pages which are describing the services to grab the users attention and encourage them to  ,1
384,The   should  modern clean  cise.,1
385,The     to  used by 90% of novice users on the Internet.,1
386,Users    to navigate through a maximum of 4 pages to create an account with the .,1
387,Users should be able to access their streamg movies  under 2 clicks after loggg to the website.,1
388,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the .,1
389,An anonymous  will show that 95% of customers are comfortable using and purchasing pre-paid cards after a  of using  .,1
390,The   retain the customer’s buying preferences and .,1
391,The   be easy for customers    on  Internet to purchase and watch   Customers should be able to purchase and watch a pre-determined  in under  ,1
392,The  shall use symbols and words that are naturally  by users familiar with websites,1
393,The  will use standard Internet conventions when interacting with the user.,1
394,Any  between a  and the   shall have a maximum response time of  seconds unless noted by an  below.,1
395,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of  .,1
396,When treaming a movie the buffering time hould take no lger than 10 eco (plu    the uer’ .,1
397,While treami a  i hould onl occur if there i  in the uer’ .,1
398,All    will be secured on the  and only accessible by authorized Izogn  Information will be encrted in the ,1
399,The  shall be available for use 24 hours per day 365 days per year.,1
400,The  shall achieve .% up .,1
401,All   be streamed on demand at any time of the .,1
402,The   continue to operate if the streaming server goes down.,1
403,The   continue to operate if the payment gateway goes down.,1
404,The streaming server will support 50 simultaneous streaming connections.,1
405,The  will support a maximum of 1 000 simultaneous .,1
406,The website  be capable of supporting 100 000 .,1
407,The  shall be  to operate within the maximum maintenance budget for a minimum of  .,1
408,All aspects of   sh  accessed by a web browser over  Internet.,1
409,The    the   will be used to support the  system.,1
410,We    to interface with the following : IE .X . Net . 7. . and Firefo ..,1
411,Website must interfa with the CyberSour API to pross credit card transactions.,1
412,Website must  fully operational with MSN TV2.,1
413,Movies shall be encoded and streamed via Windows Media Player ..,1
414,Movies shall be encoded for  and 2 streams.,1
415,Promotional  to the   take a day to .,1
416,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,1
